mode: set
codeagent-wrapper/backend.go:14.35,14.53 1 1
codeagent-wrapper/main.go:548.39,550.4 1 0
codeagent-wrapper/main.go:551.3,551.38 1 1
codeagent-wrapper/main.go:551.38,553.4 1 0
codeagent-wrapper/main.go:554.3,554.38 1 1
codeagent-wrapper/main.go:554.38,556.4 1 0
codeagent-wrapper/main.go:557.3,557.38 1 1
codeagent-wrapper/main.go:557.38,559.4 1 0
codeagent-wrapper/main.go:560.3,560.26 1 1
codeagent-wrapper/main.go:560.26,562.4 1 0
codeagent-wrapper/main.go:563.3,563.23 1 1
codeagent-wrapper/main.go:563.23,565.4 1 1
codeagent-wrapper/main.go:568.2,580.26 4 1
codeagent-wrapper/main.go:580.26,582.3 1 1
codeagent-wrapper/main.go:584.2,585.28 2 1
codeagent-wrapper/main.go:585.28,587.3 1 1
codeagent-wrapper/main.go:589.2,589.10 1 1
codeagent-wrapper/main.go:592.35,594.20 2 1
codeagent-wrapper/main.go:594.20,596.3 1 1
codeagent-wrapper/main.go:598.2,600.33 3 1
codeagent-wrapper/main.go:600.33,601.29 1 1
codeagent-wrapper/main.go:601.29,602.24 1 1
codeagent-wrapper/main.go:602.24,604.5 1 1
codeagent-wrapper/main.go:605.4,607.12 3 1
codeagent-wrapper/main.go:609.3,609.39 1 1
codeagent-wrapper/main.go:612.2,612.24 1 1
codeagent-wrapper/main.go:612.24,614.3 1 0
codeagent-wrapper/main.go:615.2,619.25 3 1
codeagent-wrapper/main.go:619.25,620.20 1 1
codeagent-wrapper/main.go:620.20,622.4 1 1
codeagent-wrapper/main.go:623.3,627.20 5 1
codeagent-wrapper/main.go:627.20,629.4 1 1
codeagent-wrapper/main.go:630.8,634.20 4 1
codeagent-wrapper/main.go:634.20,636.4 1 1
codeagent-wrapper/main.go:639.2,639.17 1 1
codeagent-wrapper/main.go:642.38,643.18 1 1
codeagent-wrapper/main.go:643.18,646.3 2 1
codeagent-wrapper/main.go:647.2,649.16 3 1
codeagent-wrapper/main.go:649.16,651.3 1 1
codeagent-wrapper/main.go:652.2,652.20 1 1
codeagent-wrapper/main.go:652.20,655.3 2 1
codeagent-wrapper/main.go:656.2,657.26 2 1
codeagent-wrapper/main.go:660.55,661.11 1 1
codeagent-wrapper/main.go:661.11,663.3 1 1
codeagent-wrapper/main.go:664.2,664.25 1 1
codeagent-wrapper/main.go:664.25,666.3 1 1
codeagent-wrapper/main.go:667.2,667.59 1 1
codeagent-wrapper/main.go:670.61,671.26 1 1
codeagent-wrapper/main.go:671.26,680.3 1 1
codeagent-wrapper/main.go:681.2,687.3 1 1
codeagent-wrapper/main.go:695.78,697.2 1 1
codeagent-wrapper/main.go:699.158,702.2 2 1
codeagent-wrapper/main.go:704.157,714.20 3 1
codeagent-wrapper/main.go:714.20,716.3 1 1
codeagent-wrapper/main.go:717.2,717.23 1 1
codeagent-wrapper/main.go:717.23,719.3 1 1
codeagent-wrapper/main.go:721.2,723.14 3 1
codeagent-wrapper/main.go:723.14,725.3 1 1
codeagent-wrapper/main.go:727.2,728.19 2 1
codeagent-wrapper/main.go:728.19,730.3 1 1
codeagent-wrapper/main.go:730.8,732.3 1 1
codeagent-wrapper/main.go:734.2,734.39 1 1
codeagent-wrapper/main.go:734.39,735.24 1 1
codeagent-wrapper/main.go:735.24,737.4 1 1
codeagent-wrapper/main.go:738.3,738.56 1 0
codeagent-wrapper/main.go:741.2,745.12 4 1
codeagent-wrapper/main.go:745.12,747.32 1 1
codeagent-wrapper/main.go:747.32,748.47 1 1
codeagent-wrapper/main.go:748.47,750.5 1 1
codeagent-wrapper/main.go:752.3,752.32 1 1
codeagent-wrapper/main.go:752.32,753.47 1 0
codeagent-wrapper/main.go:753.47,755.5 1 0
codeagent-wrapper/main.go:757.3,757.33 1 1
codeagent-wrapper/main.go:757.33,758.47 1 0
codeagent-wrapper/main.go:758.47,760.5 1 0
codeagent-wrapper/main.go:762.8,763.32 1 1
codeagent-wrapper/main.go:763.32,763.59 1 1
codeagent-wrapper/main.go:764.3,764.32 1 1
codeagent-wrapper/main.go:764.32,764.59 1 0
codeagent-wrapper/main.go:765.3,765.33 1 1
codeagent-wrapper/main.go:765.33,765.61 1 1
codeagent-wrapper/main.go:768.2,774.37 5 1
codeagent-wrapper/main.go:774.37,775.40 1 1
codeagent-wrapper/main.go:775.40,778.4 2 1
codeagent-wrapper/main.go:780.2,780.15 1 1
codeagent-wrapper/main.go:780.15,781.24 1 1
codeagent-wrapper/main.go:781.24,783.4 1 1
codeagent-wrapper/main.go:786.2,786.13 1 1
codeagent-wrapper/main.go:786.13,789.3 2 1
codeagent-wrapper/main.go:791.2,792.16 2 1
codeagent-wrapper/main.go:792.16,794.3 1 0
codeagent-wrapper/main.go:796.2,801.42 5 1
codeagent-wrapper/main.go:801.42,803.3 1 1
codeagent-wrapper/main.go:805.2,808.25 3 1
codeagent-wrapper/main.go:808.25,810.3 1 1
codeagent-wrapper/main.go:811.2,811.13 1 1
codeagent-wrapper/main.go:811.13,813.3 1 1
codeagent-wrapper/main.go:814.2,814.29 1 1
codeagent-wrapper/main.go:814.29,816.3 1 1
codeagent-wrapper/main.go:816.8,818.3 1 1
codeagent-wrapper/main.go:820.2,822.14 3 1
codeagent-wrapper/main.go:822.14,824.17 2 1
codeagent-wrapper/main.go:824.17,829.4 4 1
codeagent-wrapper/main.go:832.2,833.16 2 1
codeagent-wrapper/main.go:833.16,838.3 4 1
codeagent-wrapper/main.go:840.2,841.25 2 1
codeagent-wrapper/main.go:841.25,843.3 1 1
codeagent-wrapper/main.go:845.2,847.36 2 1
codeagent-wrapper/main.go:847.36,848.65 1 1
codeagent-wrapper/main.go:848.65,854.4 5 1
codeagent-wrapper/main.go:855.3,858.16 4 1
codeagent-wrapper/main.go:861.2,862.45 2 1
codeagent-wrapper/main.go:862.45,864.3 1 1
codeagent-wrapper/main.go:866.2,866.34 1 1
codeagent-wrapper/main.go:866.34,868.24 2 1
codeagent-wrapper/main.go:868.24,871.4 2 1
codeagent-wrapper/main.go:872.3,872.28 1 1
codeagent-wrapper/main.go:875.2,876.12 2 1
codeagent-wrapper/main.go:876.12,876.36 1 1
codeagent-wrapper/main.go:878.2,879.12 2 1
codeagent-wrapper/main.go:879.12,882.3 2 1
codeagent-wrapper/main.go:884.2,887.9 3 1
codeagent-wrapper/main.go:888.26,888.26 0 1
codeagent-wrapper/main.go:889.20,892.21 3 1
codeagent-wrapper/main.go:895.2,895.27 1 1
codeagent-wrapper/main.go:895.27,897.3 1 1
codeagent-wrapper/main.go:899.2,901.40 2 1
codeagent-wrapper/main.go:901.40,902.50 1 1
codeagent-wrapper/main.go:902.50,906.4 3 1
codeagent-wrapper/main.go:907.3,909.16 3 1
codeagent-wrapper/main.go:912.2,912.20 1 1
codeagent-wrapper/main.go:912.20,913.51 1 1
codeagent-wrapper/main.go:913.51,919.4 5 1
codeagent-wrapper/main.go:920.3,923.16 4 0
codeagent-wrapper/main.go:926.2,928.19 3 1
codeagent-wrapper/main.go:928.19,933.3 4 1
codeagent-wrapper/main.go:935.2,935.25 1 1
codeagent-wrapper/main.go:935.25,937.3 1 1
codeagent-wrapper/main.go:938.2,938.25 1 1
codeagent-wrapper/main.go:938.25,940.3 1 1
codeagent-wrapper/main.go:942.2,946.15 4 1
codeagent-wrapper/main.go:954.51,955.18 1 1
codeagent-wrapper/main.go:955.18,957.3 1 1
codeagent-wrapper/main.go:959.2,959.23 1 1
codeagent-wrapper/main.go:959.23,962.3 2 1
codeagent-wrapper/main.go:964.2,965.22 2 1
codeagent-wrapper/main.go:965.22,968.3 2 1
codeagent-wrapper/main.go:970.2,972.20 3 1
codeagent-wrapper/main.go:975.38,977.2 1 1
codeagent-wrapper/main.go:979.82,983.12 3 1
codeagent-wrapper/main.go:983.12,985.10 2 1
codeagent-wrapper/main.go:986.23,988.26 2 0
codeagent-wrapper/main.go:988.26,990.70 2 0
codeagent-wrapper/main.go:990.70,991.28 1 0
codeagent-wrapper/main.go:991.28,993.7 1 0
codeagent-wrapper/main.go:996.21,996.21 0 1
codeagent-wrapper/main.go:1001.47,1002.16 1 1
codeagent-wrapper/main.go:1002.16,1004.3 1 0
codeagent-wrapper/main.go:1006.2,1006.52 1 1
codeagent-wrapper/main.go:1006.52,1008.3 1 1
codeagent-wrapper/main.go:1010.2,1010.57 1 1
codeagent-wrapper/main.go:1013.50,1014.38 1 1
codeagent-wrapper/main.go:1014.38,1016.3 1 0
codeagent-wrapper/main.go:1018.2,1020.74 2 1
codeagent-wrapper/main.go:1020.74,1021.25 1 1
codeagent-wrapper/main.go:1021.25,1023.4 1 1
codeagent-wrapper/main.go:1027.62,1029.2 1 1
codeagent-wrapper/main.go:1031.91,1033.2 1 1
codeagent-wrapper/main.go:1035.111,1039.19 3 1
codeagent-wrapper/main.go:1039.19,1040.25 1 0
codeagent-wrapper/main.go:1040.26,1040.27 0 0
codeagent-wrapper/main.go:1042.2,1042.19 1 1
codeagent-wrapper/main.go:1042.19,1043.25 1 0
codeagent-wrapper/main.go:1043.26,1043.27 0 0
codeagent-wrapper/main.go:1046.2,1048.21 2 1
codeagent-wrapper/main.go:1048.21,1050.17 2 1
codeagent-wrapper/main.go:1050.17,1051.12 1 0
codeagent-wrapper/main.go:1053.3,1056.62 3 1
codeagent-wrapper/main.go:1056.62,1058.12 2 1
codeagent-wrapper/main.go:1061.3,1062.27 2 1
codeagent-wrapper/main.go:1062.27,1064.4 1 1
codeagent-wrapper/main.go:1065.3,1065.49 1 1
codeagent-wrapper/main.go:1065.49,1067.4 1 1
codeagent-wrapper/main.go:1068.3,1068.23 1 1
codeagent-wrapper/main.go:1068.23,1070.4 1 1
codeagent-wrapper/main.go:1070.9,1072.4 1 1
codeagent-wrapper/main.go:1074.3,1074.21 1 1
codeagent-wrapper/main.go:1075.25,1077.70 2 1
codeagent-wrapper/main.go:1078.25,1081.25 3 1
codeagent-wrapper/main.go:1081.25,1084.5 2 1
codeagent-wrapper/main.go:1085.4,1086.83 2 1
codeagent-wrapper/main.go:1086.83,1088.5 1 1
codeagent-wrapper/main.go:1092.2,1092.65 1 1
codeagent-wrapper/main.go:1092.65,1094.3 1 0
codeagent-wrapper/main.go:1096.2,1097.26 2 1
codeagent-wrapper/main.go:1100.93,1103.20 2 1
codeagent-wrapper/main.go:1103.20,1104.44 1 0
codeagent-wrapper/main.go:1104.44,1106.4 1 0
codeagent-wrapper/main.go:1109.2,1114.19 5 1
codeagent-wrapper/main.go:1114.19,1116.3 1 1
codeagent-wrapper/main.go:1118.2,1119.25 2 1
codeagent-wrapper/main.go:1119.25,1121.3 1 1
codeagent-wrapper/main.go:1123.2,1123.81 1 0
codeagent-wrapper/main.go:1126.45,1127.26 1 1
codeagent-wrapper/main.go:1128.14,1129.11 1 1
codeagent-wrapper/main.go:1130.21,1132.26 2 1
codeagent-wrapper/main.go:1132.26,1133.34 1 1
codeagent-wrapper/main.go:1133.34,1135.5 1 1
codeagent-wrapper/main.go:1137.3,1137.21 1 1
codeagent-wrapper/main.go:1138.10,1139.12 1 1
codeagent-wrapper/main.go:1143.27,1145.15 2 1
codeagent-wrapper/main.go:1145.15,1147.3 1 1
codeagent-wrapper/main.go:1149.2,1150.31 2 1
codeagent-wrapper/main.go:1150.31,1153.3 2 1
codeagent-wrapper/main.go:1155.2,1155.20 1 1
codeagent-wrapper/main.go:1155.20,1157.3 1 1
codeagent-wrapper/main.go:1158.2,1158.15 1 1
codeagent-wrapper/main.go:1161.31,1163.16 2 1
codeagent-wrapper/main.go:1163.16,1165.3 1 0
codeagent-wrapper/main.go:1166.2,1166.45 1 1
codeagent-wrapper/main.go:1169.24,1171.2 1 1
codeagent-wrapper/main.go:1173.46,1174.38 1 1
codeagent-wrapper/main.go:1174.38,1176.3 1 1
codeagent-wrapper/main.go:1177.2,1177.21 1 1
codeagent-wrapper/main.go:1186.57,1187.17 1 1
codeagent-wrapper/main.go:1187.17,1189.3 1 1
codeagent-wrapper/main.go:1190.2,1190.51 1 1
codeagent-wrapper/main.go:1193.51,1194.15 1 1
codeagent-wrapper/main.go:1194.15,1196.3 1 0
codeagent-wrapper/main.go:1197.2,1198.17 2 1
codeagent-wrapper/main.go:1198.17,1199.48 1 1
codeagent-wrapper/main.go:1199.48,1203.12 4 1
codeagent-wrapper/main.go:1205.3,1206.8 2 1
codeagent-wrapper/main.go:1208.2,1208.19 1 1
codeagent-wrapper/main.go:1211.30,1212.36 1 1
codeagent-wrapper/main.go:1212.36,1214.3 1 1
codeagent-wrapper/main.go:1215.2,1215.19 1 1
codeagent-wrapper/main.go:1218.42,1219.15 1 1
codeagent-wrapper/main.go:1219.15,1221.3 1 0
codeagent-wrapper/main.go:1222.2,1224.26 3 1
codeagent-wrapper/main.go:1224.26,1226.3 1 1
codeagent-wrapper/main.go:1227.2,1227.44 1 1
codeagent-wrapper/main.go:1227.44,1229.17 2 1
codeagent-wrapper/main.go:1229.17,1231.4 1 0
codeagent-wrapper/main.go:1231.9,1233.4 1 1
codeagent-wrapper/main.go:1235.2,1235.27 1 1
codeagent-wrapper/main.go:1238.44,1239.22 1 1
codeagent-wrapper/main.go:1239.22,1241.3 1 1
codeagent-wrapper/main.go:1242.2,1242.16 1 1
codeagent-wrapper/main.go:1242.16,1244.3 1 0
codeagent-wrapper/main.go:1245.2,1245.27 1 1
codeagent-wrapper/main.go:1248.24,1249.11 1 1
codeagent-wrapper/main.go:1249.11,1251.3 1 1
codeagent-wrapper/main.go:1252.2,1252.10 1 1
codeagent-wrapper/main.go:1255.27,1257.2 1 1
codeagent-wrapper/main.go:1259.26,1261.19 2 1
codeagent-wrapper/main.go:1261.19,1263.3 1 1
codeagent-wrapper/main.go:1264.2,1264.23 1 1
codeagent-wrapper/main.go:1267.29,1269.2 1 1
codeagent-wrapper/main.go:1271.21,1273.2 1 1
codeagent-wrapper/main.go:1275.32,1277.2 1 1
codeagent-wrapper/main.go:1279.35,1281.2 1 1
codeagent-wrapper/main.go:1283.26,1284.45 1 1
codeagent-wrapper/main.go:1284.45,1286.3 1 1
codeagent-wrapper/main.go:1289.26,1290.45 1 1
codeagent-wrapper/main.go:1290.45,1292.3 1 1
codeagent-wrapper/main.go:1295.27,1296.45 1 1
codeagent-wrapper/main.go:1296.45,1298.3 1 1
codeagent-wrapper/main.go:1301.23,1302.45 1 1
codeagent-wrapper/main.go:1302.45,1304.3 1 1
codeagent-wrapper/main.go:1305.2,1305.24 1 1
codeagent-wrapper/main.go:1305.24,1307.3 1 1
codeagent-wrapper/main.go:1310.18,1339.2 2 1
